code,titre,fbID,type,apropos,description,mission,categorie1,categorie2,categorie3,pays,etat,ville,adresse_courte,adresse_longue,likes,talking_about
CliniquemedicalelActuel,Clinique médicale l'Actuel,276907509050606,org,"Centre d'excellence VIH - ITS - Hépatites, depuis 1984 || 514 524 1001 || courriel@lactuel.ca","Centre d'excellence VIH - ITS - Hépatites, depuis 1984 || www.cliniquelactuel.com  || 514 524 1001

Pour tout commentaire ou question, merci de nous écrire à
courriel@lactuel.ca
— veuillez noter que cette adresse courriel sert uniquement pour les commentaires et les questions, nous ne traitons aucune demande de rendez-vous et nous ne divulguons aucun résultat de cette adresse courriel.
 
Pour la prise de rendez-vous : veuillez consulter l’onglet rendez-vous sur notre site Web ou nous téléphoner au 514 524 1001
 
Pour les résultats : si vous avez des questions concernant des résultats de tests, svp nous téléphoner au  514 524 1001
__________

For all comments and questions, please write to us at: 
courriel@lactuel.ca
— please note that this email address is only for comments and questions, we won’t answer appointments requests or communicate any results from this email address.
 
For appointments requests: please see the appointments label on our Web site or call us at 514 524 1001
 
For tests results: for any question regarding tests results, please call us at 514 524 1001",Offrir des soins de santé de haute qualité en matière de dépistage et de traitement des infections transmissibles sexuellement et par le sang (ITSS) et de prise en charge des personnes vivant avec le VIH/sida ,Medical Center,Doctor,Medical Company,Montreal,QC,Canada,"1001, boul. De Maisonneuve Est, bureau 1130","1001, boul. De Maisonneuve Est, bureau 1130, Montreal, Quebec H2L 4P9",5719,82
COCQSIDA,COCQ-SIDA,245521925512058,org,La COCQ-SIDA est un regroupement d'organismes communautaires intervenant sur les enjeux touchant les personnes vivant avec le VIH et l’ensemble des populations à risque d’être infectées par le VIH au Québec,"Cette page se veut un lieu d'information, de sensibilisation et d'échanges autour des enjeux touchant les personnes vivant avec le VIH et l’ensemble des populations à risque d’être infectées par le VIH.
La COCQ-SIDA souhaite garantir un cadre convivial et propice au partage d’expériences, comme d’opinions. Chaque auteur d’un commentaire s’engage à contribuer au maintien de ce cadre et à la qualité des échanges. Ainsi, nous vous demandons de respecter les règles suivantes :
. Les messages à caractère homophobe, raciste, sexiste, diffamatoire ou qui portent atteinte à la réputation d’une personne ou d’un groupe de personnes sont interdits
. Les messages pouvant nuire à la vie privée d’une personne sont interdits
. Toute forme d’attaque personnelle et/ou de harcèlement est interdite
. Les messages divulguant des informations confidentielles sont interdits
. Les messages à caractère promotionnel et/ou publicitaire sont interdits. Seules les annonces d’activités en lien avec la lutte contre le VIH/sida sont tolérées
","La COCQ-SIDA suscite, soutient et consolide l’action communautaire face à la lutte contre le VIH/sida sur le territoire québécois.  Elle solidarise les gens, unit les démarches, les actions et les ressources impliquées pour répondre aux enjeux qui touchent les personnes vivant avec le VIH et l’ensemble des populations à risque d’être infectées par le VIH.",Community Organization,Nonprofit Organization,?,Montreal,QC,Canada,"1, rue Sherbrooke Est","1, rue Sherbrooke Est, Montreal, Quebec H2X 3V8",1735,40
coeuretavc,Coeur + AVC,53321777320,org,"Ensemble, éliminons les maladies du cœur et les AVC pour vivre en santé. www.coeuretavc.ca","La vie. Ne passez pas à côté. C’est pour cette raison que Cœur + AVC mène la lutte contre les maladies du cœur et l’AVC. Nous devons propulser les prochaines découvertes médicales afin que les gens au pays ne passent pas à côté de moments précieux. Ensemble, nous prévenons les maladies, préservons la vie et favorisons le rétablissement grâce à la recherche, la promotion de la santé et des politiques publiques. ","La Fondation des maladies du cœur et de l’AVC a pour mission de prévenir les maladies, de préserver la vie et de favoriser le rétablissement. En tant qu’organisme bénévole de bienfaisance en santé, nous nous efforçons chaque jour d’améliorer de façon tangible la santé de toutes les familles du pays. « Ensemble, éliminons les maladies du cœur et les AVC pour vivre en santé. » ",Medical & Health,Nonprofit Organization,Professional Service,Ottawa,ON,Canada,"222 Queen Street, Suite 1402","222 Queen Street, Suite 1402, Ottawa, Ontario K1P 5V9",64696,3036
CRCHUM,Centre de recherche du CHUM,156520134446563,gouv,"L'audace de chercher plus loin / Dare to look beyond the horizon                     http://www.crchum.qc.ca, https://twitter.com/CRCHUM",?,"Le CRCHUM améliore la santé chez l’adulte par un continuum de recherche universitaire de haut niveau qui, en améliorant la compréhension des mécanismes étiologiques et pathogéniques, favorise le développement, l’implantation et l’évaluation de nouvelles stratégies préventives, diagnostiques et thérapeutiques.

Le CRCHUM offre un environnement de formation assurant une relève engagée dans une recherche d’excellence.

The CRCHUM improves the health of adults through a high-quality academic research continuum which, by improving our understanding of etiological and pathogenic mechanisms, fosters the development, implementation and assessment of new preventive, diagnostic and therapeutic strategies.

The CRCHUM provides a training environment to ensure the development of new generations of researchers committed to research excellence.",Healthcare Administrator,Nonprofit Organization,Medical Research Center,Montreal,QC,Canada,"900 St-Denis, Pavillon R","900 St-Denis, Pavillon R, Montreal, Quebec H2X 0A9",3438,375
diabetemagazine,Diabete Magazine,942446589129055,autre,"Le seul magazine en France qui traite à 100% du diabète,
Ses complications : Cholestérol, cardiovasculaire, insuffisance rénale, hypertension, trouble de la vision, troubles de la sexualité, etc…","Aussi étonnant qu’il soit... il n’existait pas de magazine consacré au diabète en France, alors qu’il y a plus de 3,5 millions de diabétiques... D’ou la création il y a 3 ans, de DIABÈTE MAGAZINE (actuellement le N°21 est en cours). 
Dans chaque numéro... des informations concrètes sur le diabète et ses complications. Des conseils, des recommandations, des interviews de médecins et spécialistes pour vous aider à vivre avec votre diabète... Vous trouverez également des renseignements sur les maladies connexes au diabète, tels que les risques cardio-vasculaires, les troubles de la vue, les complications rénales,  les troubles de la sexualité, etc... Un diabète mal contrôlé peut donc entraîner de graves conséquences sur votre santé et perturber votre quotidien. 
Également dans chaque numéro, un cahier cuisine, le «Gourmand Diabétique», consacré aux recettes de saison spécialement étudiées pour votre équilibre alimentaire et votre plaisir...
Rejoignez les lecteurs de Diabète Magazine, ce sera pour nous la marque de votre confiance. 
Eva Folley, Rédactrice en Chef. «Diabète Mag» 

Les informations contenues et proposées dans ce magazine ne constituent et ne remplacent en aucun cas une consultation médicale. Ces informations sont mises à la disposition des lecteurs à titre de renseignement et de conseils pratiques. il est impératif que vous consultiez régulièrement votre médecin, votre pharmacien, votre nutritionniste, votre cardiologue et votre diabètologue.
Deux actions citoyennes mises en place par Diabète Mag : 
la première a été de décider d’imprimer sur du papier recyclé,  la seconde est d’imprimer le magazine en France.
","Prévenir, soigner & mieux vivre le diabète.",Magazine,?,?,Paris,?,France,?,"75000 Paris, France",3440,206
diabetequebec,Diabète Québec,179747505687,org,"Diabète Québec a pour mission d'informer, de sensibiliser et de prévenir",?,Diabète Québec a comme mission d'informer et de sensibiliser au diabète et de soutenir la prévention de la maladie et de ses complications.,Medical & Health,Charity Organization,Product/Service,Montreal,QC,Canada,"8550 Boul. Pie-IX, bureau 300","8550 Boul. Pie-IX, bureau 300, Montreal, Quebec H1Z 4G2",9402,194
diabetnutrition,Diabète & Nutrition,1679424012278833,autre,"Diabète & Nutrition souhaite partager des informations claires concernant le diabète et la nutrition. 
",?,?,Health & Wellness Website,?,?,?,?,?,?,?,7678,85
docteur.mercola,Dr. Joseph Mercola Français,1720748801480231,autre,Éduquer les autres aux options naturelles au détriment de la chirurgie et des médicaments potentiellement dangereux.,?,?,Public Figure,?,?,United State,IL,Hoffman Estates,3200 W Higgins Rd.,"3200 W Higgins Rd., Hoffman Estates, Illinois 60169",6337,1351
Esantefr,E-santé,176755350714,autre,"Avec E-santé.fr, profitez de tous nos conseils santé, beauté, bien-être ainsi que des actus quotidiennes & avis de nos experts ! www.e-sante.fr","Informations pratiques Forme - Santé – Beauté pour mieux prendre en charge son Bien être au quotidien. Newsletters gratuites, contenus multimédias (vidéos) forums, témoignages, astuces, blogs …","Nos professionnels vous accompagnent et vous conseillent chaque semaine (articles, conseils, tests et témoignages). ",Health & Wellness Website,?,?,?,?,?,?,?,629454,11872
family.sante,Family Santé,343369792517885,autre,Santé Plus : le magazine de la santé,?,?,Website,?,?,?,?,?,?,?,18151,67
FEMMESSEMENCIERES,Mouvement des Femmes Semencières,574118189311838,autre,"Ce mouvement a pour objectif de promouvoir la reproduction, la conservation, le don et l'échange de semences vivantes reproductibles à travers le monde.","Le Mouvement des Femmes Semencières, né à la demande de Pierre Rabhi, souhaite favoriser l'émergence d'oasis de la biodiversité partout dans le monde, par l'information, en facilitant les transferts de compétences, les rencontres, les échanges de semences et de plantes.
La biodiversité est en danger, il est grand temps que chacun d'entre nous agissions pour lui venir en aide. Notre responsabilité de gardiens de la Vie est immense. Semons, récoltons et conservons pour l'Avenir de notre Humanité!
On Sèmera Encore!!!",?,Community,?,?,?,?,?,?,?,19474,350
fondationcancerduseinduquebec,Fondation cancer du sein du Québec,156248202805,org,"La Fondation du cancer du sein du Québec a pour mission de financer la recherche sur le cancer du sein,  de promouvoir la santé du sein par l’éducation et la sensibilisation et de faciliter le soutien aux personnes touchées par le cancer du sein.","La Fondation du cancer du sein du Québec a pour mission de financer la recherche sur le cancer du sein,  de promouvoir la santé du sein par l’éducation et la sensibilisation et de faciliter le soutien aux personnes touchées par le cancer du sein.",?,Nonprofit Organization,Charity Organization,Organization,Montreal,QC,Canada,"279, rue Sherbrooke Ouest, bureau 305","279, rue Sherbrooke Ouest, bureau 305, Montreal, Quebec H2X 1Y1",214232,288
fqcancer,Fondation québécoise du cancer,204076236325034,org,"Offre des programmes de bien-être physique et du soutien psychologique à Montréal, Québec, en Estrie, en Outaouais et en Mauricie. Plus grand réseau d'hébergement de la province. Aide adaptée aux jeunes de 15 à 39 ans via le Programme à Félix.","Un organisme reconnu, crédible et influent qui améliore concrètement la qualité de vie des personnes atteintes de cancer par ses services d’hébergement, d’information et d’accompagnement.

Fondée en 1979, la Fondation québécoise du cancer est présente à Montréal, Québec, Sherbrooke, Gatineau et Trois-Rivières. Son offre de services, à la fois variée et proche des besoins des personnes touchées par le cancer.",Soutenir au quotidien les personnes touchées par le cancer sur l’ensemble du territoire du Québec par des services concrets adaptés à leurs besoins.,Nonprofit Organization,?,?,?,?,?,?,?,5310,1000
guerirorg-151562964884911,guerir.org,151562964884911,autre,"www.guerir.org | Cette page a pour but de regrouper la communauté de personnes concernées par le site guerir.org, atteintes ou non par un cancer, afin que chacun trouve l'écoute, le soutien moral et l'échange d'expériences dont il a besoin.",?,"La page facebook guerir.org a pour but de regrouper la communauté de personnes concernées, atteintes ou non par la maladie, afin que chacun trouve l'écoute, le soutien moral et l'échange d'expériences dont il a besoin.",Health & Wellness Website,?,?,France,?,Paris,?,"Paris, France",7706,204
indexsante,Index Santé - Le répertoire santé du Québec,173715363778,autre,Trouvez un professionnel de la santé au Québec avec le répertoire Index Santé. Consultez le répertoire : www.indexsante.ca.,"Le répertoire Index Santé, c'est plus de 50 catégories de services québécois reliés à la santé. Ces catégories proposent les coordonnées de professionnels et de services variés du domaine de la santé. Afin de faciliter vos recherches, chacune des catégories présente une organisation basée sur les régions et les villes du Québec.

Avec des milliers de visiteurs et des millions de pages vues annuellement, le répertoire Index Santé est devenu la référence pour trouver un service en santé au Québec. Le répertoire regroupe jusqu'à présent des milliers de services dans les secteurs public, privé et communautaire.",Notre mission est d'offrir aux Québécois un portail Web accessible en tout temps et simple d'utilisation permettant de repérer rapidement un service en santé au Québec. Nous travaillons sans relâche afin d'offrir aux internautes une source fiable et complète en matière de services en santé au Québec.,Health & Wellness Website,?,?,?,?,?,?,?,12948,140
InsolenteVeggie-435485663188567,InsolenteVeggie,435485663188567,autre,"Le blog BD d'une végétalienne extrémiste.
http://www.insolente-veggie.com/",?,?,Fictional Character,?,?,?,?,?,?,?,11073,443
institutcardiologiemontreal,Institut de Cardiologie de Montréal,119791798085795,gouv,Page officielle de l'Institut de Cardiologie de Montréal,?,?,Hospital,Medical Company,College & University,Montreal,QC,Canada,"5000, rue Bélanger","5000, rue Bélanger, Montreal, Quebec H1T 1C8",16995,397
kokopelli.semences,Kokopelli,596154420403040,autre,"Association distribuant des semences potagères et aromatiques biologiques, libres de droit et reproductibles (non-hybrides F1 et non-OGM).","Association distribuant des semences potagères et aromatiques biologiques, libres de droit et reproductibles (non-hybrides F1 et non-OGM).",?,Nonprofit Organization,?,?,France,?,Le Mas-d'Azil,Forêt de Castagnès - route de Sabarat,"Forêt de Castagnès - route de Sabarat, 09290 Le Mas-d'Azil",80974,1595
lasantenaturelle,Santé Naturelle,710633295681755,autre,La santé naturelle pour tous. ,?,?,Magazine,?,?,?,?,?,?,?,472247,19917
LEcologiste-173803379379255,L'Ecologiste,173803379379255,autre,http://www.ecologiste.org/,?,?,Magazine,?,?,?,?,?,?,?,13906,9
LePharmachien,Le Pharmachien,195479737251918,info,"Le Pharmachien: Le pharmacien impertinent qui simplifie la science et anéantit la pseudoscience !

Visite le site à http://lepharmachien.com","Note # 1: Je ne peux répondre à aucune question personnelle d'intérêt médical. Pour toutes questions reliées à ta santé, demande à ton médecin ou ton pharmacien !

Note #2 : SVP ne pas poster de liens de sites webs doutex sur mon mur, car je ne les publierai pas. Je comprends que c'est pour avoir mon avis, mais je tente surtout de ne pas leur faire de la pub !

Note #3 : J'essaie ben ben ben ben ben... ben gros de répondre à tous mes messages, mais ils sont tellement nombreux que j'ai énormément de difficulté à le faire. Depuis mai 2015, je ne suis officiellement plus capable de répondre aux messages privés sur Facebook, car j'en recevais trop, alors je les ai désactivés. Tu peux toujours me rejoindre en commentant sous les BD du site web ou ici sur les posts Facebook.

Autres messages importants et avertissements pertinents ici :
http://lepharmachien.com/a-propos-du-site/",?,Website,?,?,Canada,QC,Montreal,?,"Montreal, Quebec",190538,176
les-plantes-medicinalesnet-143708075680805,les-plantes-medicinales.net,143708075680805,autre,"Mister Plantes vous invite à découvrir les bienfaits et vertus des plantes médicinales, des huiles essentielles et thérapeutiques et des remèdes naturels !","Plantes Médicinales, Liste des plantes médicinales, plantes médicinales à connaître, Comment Utiliser les Plantes Médicinales ? ",?,Website,?,?,?,?,?,?,?,266017,389
LifeandS,Esprit & Santé,514766272033942,autre,Votre espace Esprit & Santé,?,?,Magazine,?,?,?,?,?,?,?,378528,8660
MagazinedelasanteF5,Le magazine de la santé,309578829160263,top5,"L’actualité santé et bien-être présentée dans la bonne humeur par deux médecins du lundi au vendredi à 13h40 sur France 5.
Et de 14h30 à 15h, les réponses à vos questions sur un grand thème de santé dans la partie ""Allô Docteurs"".",?,?,TV Show,?,?,?,?,?,?,?,1195478,24024
Makotsoft,SANTÉ 2 FER,1333358970012178,commerce,"La nature cache pas mal de vertus ancestrals peu connus par la génération nouvelle.
Promouvoir l auto guérison par les plantes est notre objectif.","le pouvoir de nos fleurs, épices, fruits ...",?,Book,?,?,?,?,Yaounde,?,+237 Yaounde,28076,3488
MangerMediterraneen,Manger Il était une faim,655174117958673,autre,"Marre des régimes et de l'effet yoyo ? Rééquilibrez votre alimentation, grâce au régime méditerranéen, pour vous permettre de maigrir progressivement mais durablement !","La diète méditerranéenne est considérée comme l’une des plus saines au monde. L'adopter peut être favorable tant du point de vue de la santé que de la gastronomie. On peut la recommander à toute personne désireuse d'améliorer sa qualité et son espérance de vie.
Cette diète est caractérisée par un apport élevé en céréales complets, légumes, légumineuses, fruits, noix et huile d’olive…
Tout le monde devrait songer à suivre un régime de type méditerranéen, puisqu’il diminue significativement les risques de maladies cardiovasculaires, de cancer, de maladies neurodégénératives (comme l’Alzheimer)… mais aussi une perte de poids et une diminution des niveaux de cholestérol sanguin.
Le fait de manger méditerranéen améliore la santé en général et diminue les risques de mortalité toutes causes confondues.",?,Community,?,?,?,?,?,Monde Méditerranéen,Monde Méditerranéen,114496,571
masantenaturellecom,Ma Santé Naturelle.com,150777774945618,autre,masantenaturelle.com est un site web indépendant et professionel d'informations en santé naturelle. Il propose une multitude de chroniques et conseils sur l'art de se maintenir en santé et de se soigner naturellement.,?,"L'information publiée est objective, le site ne vend aucun produit naturel et n'offre pas de service de consultation. Uniquement de l'information de qualité provenant des meilleures sources professionnelles.
Au fil des ans notre site web est devenu de plus en plus populaire, avec plus de 5 millions de visiteurs par année, et ce succès à fait naître des copies et certains n'hésitent même pas à reprendre le nom que nous avons rendu populaire: Ma Santé Naturelle. C'est sans doute la rançon du succès!  Ne vous laissez pas tromper, le site original et officiel est bien www.masantenaturelle.com 
",Health & Wellness Website,?,?,?,?,?,?,?,856100,1702
naturelleplus,Je Prends Soin de Moi,509485469237095,autre,Le magazine de la santé naturelle,?,?,Health & Wellness Website,Entertainment Website,?,?,?,?,?,?,22689,638
OnmedaFR,Onmeda.fr,114569965286979,autre,Le site expert de la santé et du bien-être.,"Des sujets de santé, médecine, forme, bien-être, grossesse, enfants, psychologie, médicaments sont détaillés. Des médecins experts nous aident à la rédaction des sujets.",?,Health & Wellness Website,?,?,Paris,?,France,"8, Saint Fiacre","8, Saint Fiacre, 75002 Paris, France",152328,209
PasseportSante.net,PasseportSanté,108989569120745,info,"Le site http://www.passeportsante.net offre au grand public de l’information pratique, fiable, objective et indépendante sur la santé.","Le site http://www.passeportsante.net offre au grand public de l’information pratique, fiable, objective et indépendante sur la santé.",?,Website,?,?,France,?,La Madeleine,125 avenue de la République,"125 avenue de la République, 59110 La Madeleine, Nord-Pas-De-Calais, France",309694,1286
plaisirssante,Plaisirs santé,243103703585,info,"Découvrez des trucs pour vous sentir bien dans votre peau! Retrouvez aussi des conseils d’experts faciles à adopter, des idées et des recettes santé.","Plaisirs Santé offre une foule de conseils santé et bien-être, les meilleures recettes et astuces pour embellir votre quotidien. Rendez-vous au http://www.selection.readersdigest.ca/sante et consultez nos rubriques Beauté, Diabète, Famille et relations, Maigrir, Maladies et conseils, Prévention et Vivre sainement. ","Plaisirs Santé vous offre les meilleurs trucs, astuces et conseils d'experts en matière de santé, beauté, bien-être, prévention, diabète, maladies et conseils vous permettant d'embellir votre quotidien et de vivre sainement. ",Magazine,Website,?,Canada,QC,Montreal,1100 Boul. René-Lévesque Ouest,"1100 Boul. René-Lévesque Ouest, Montreal, Quebec H3B 5H5",15949,16
plantes.sante,Plantes & santé,195902087249359,autre,"Revue mensuelle consacrée à la santé par les plantes : phyto, aroma, astuces pour se faire du bien, écologie… http://www.plantes-et-sante.fr","Retrouvez notre revue en kiosque près de chez vous : 
http://www.trouverlapresse.com/LOP/IDTRechercheTitre.do

Pour vous abonner au magazine papier :
http://boutique.santeportroyal.com

Pour toutes questions relatives à votre abonnement : 01 55 56 70 51

https://www.instagram.com/phytofever/
",?,Magazine,?,?,?,?,?,?,?,27223,778
PortailVIH,Portail VIH/sida du Québec | PVSQ,307257175964767,org,?,"Le Portail VIH/sida du Québec est un organisme provincial qui œuvre à éduquer le public, et plus particulièrement les personnes vivant avec le VIH/sida sur le VIH/sida et autres ITSS, notamment par la mise à disposition de matériel multimédia, de conférences ou d’ateliers de formation. 

Il développe ainsi les outils (virtuels ou imprimés) et les activités nécessaires pour rejoindre la personne concernée par le VIH et les ITSS, ainsi que son entourage. Le Portail offre, à distance, du soutien, de l’information et des références selon les besoins qui lui sont adressés. ","Éduquer le public et plus particulièrement les personnes vivant avec le VIH sur le VIH/sida : 
- En produisant et organisant des conférences et ateliers facilement accessibles et ludiques
- En produisant du matériel multimédia (textes, enregistrement audio et vidéo) et en le distribuant, notamment par notre site Internet. 
- En offrant du soutien aux personnes vivant avec le VIH et à leurs proches par une ligne d’aide et d’information par voies téléphonique et électronique.",Nonprofit Organization,Community Organization,?,Montreal,QC,Canada,?,"Montreal, Quebec H2K 2N3",1381,24
PreserveTaSante,Préserve ta santé,1593057197650831,autre,"ici vous allez trouver des recettes santé, des astuces naturelles et truc de grand mère pour manger sainement et protéger votre santé naturellement ",?,?,Health & Wellness Website,Community,?,?,?,?,?,?,28944,28
protegetasante,Protège ta santé naturellement,1531892033723860,autre,"Ici, vous allez trouver des astuces naturelles et remède de grand mère pour prévenir, guérir, et maigrir...sainement et naturellement  ",?,?,Community,?,?,?,?,?,?,?,194802,470
Quelle-alimentation--168594626514466,Quelle alimentation ?,168594626514466,commerce,?,"Cette page est consacrée à notre alimentation, thème sensible s'il en est en occident tant les méfaits du modèle économique agro-alimentaire commence à peser sur notre santé et tant les modèles alternatifs qui nous sont proposés peuvent nous sembler contradictoires. 

A l'opposé, les modèles traditionnels semblent emprunts d'une grande sagesse.",NULL,Community,?,?,?,?,?,?,?,1389,6
recettesante,Recettes Santé,252017258595808,autre,La page des recettes Santé ! ,La page des Recettes Santé ! ,?,Magazine,?,?,?,?,?,?,?,461118,13934
recherchecancer,Société de recherche sur le cancer / Cancer Research Society,194107107271152,org,"100 % recherche depuis 1945
www.RechercheCancer.ca",?,"Fondée en 1945, la Société de recherche sur le cancer est un organisme national, sans but lucratif, dont la mission est de financer exclusivement la recherche sur tous les types de cancer, contribuant ainsi à l’avancement de la science afin de prévenir, détecter et traiter cette maladie. La Société soutient la recherche fondamentale qui est à l’origine de plusieurs découvertes novatrices, ainsi que des projets en environnement-cancer, un domaine où elle est considérée pionnière au Canada. Au cours des 20 dernières années, la Société a versé plus de 100 millions de dollars à quelque 900 projets de recherche sur le cancer au pays grâce à diverses initiatives de collecte de fonds. Pour plus d’information sur le cancer, sur la Société ou pour soutenir la recherche, visitez le www.RechercheCancer.ca ou appelez le 1 866-343-2262. ",Charity Organization,Nonprofit Organization,?,Montreal,QC,Canada,?,"Montreal, Quebec H3A 3S5",4783,46
SainetNaturel,Sain et Naturel,369036169968241,autre,"Sain et naturel est un site d'informations sur la santé, l'écologie, et la nutrition. Page de secours :https://www.facebook.com/SainetNaturelII/?fref=ts",Page de secours : https://www.facebook.com/SainetNaturelII/?fref=ts,?,Community,?,?,?,?,?,?,?,496424,170503
saistuquesante,Sais-tu que ? Version Santé,479597155540822,autre,"Tout ce que vous ne savez pas sur la santé !
Chaque instant, une nouvelle information !
",?,?,Magazine,?,?,?,?,?,?,?,423332,8959
